date,inn,count,outs,trackmanPitchUID,TrackmanGameID,playGuid,TeamId,GameID,ContactY,ContactX,CThrowDownLineDist,ContactZ,PickAttBase,SBA2,SBA3,CTimeToBase,CThrowBase,CExchTime,CThrowHeight,CThrowSpd,DelivTime,ForwVel,HangTime,BrkY,SB3,SB2,xWOBA,LandAng,ABResult,xSLG,xISO,xAVG,PitchHand,BatterHand,PopTime,PlayDesc,ManOn2nd,ManOn3rd,ManOn1st,PZNorm,PXNorm,Tilt,SpinDir,RelX,RelZ,HorzRelAngle,HorzApprAngle,VertRelAngle,VertApprAngle,IndVertBrk,HRDst,HorzBrk,FBDst,ExitDir,Extension,pitcher,batter,type,pitchResult,Vel,Spin,ExitVel,LaunchAng,pCallStrk%
2025-05-20 01:00:00,Bot 2,0-0,1,0ee48930-358b-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1636-1649,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,S,-,-,-,R,L,-,,,,,-0.04105142857142852,1.1659764705882352,8:25,72.4,-28.6,64.8,-2.69,-4.34,0.47,-7.06,-1.7,-,-9.0,-,-,6.79,Horn,Neal,Slider,Strike Looking,83.7,2231.6,-,-,81.4%
2025-05-20 01:00:00,Bot 2,0-1,1,18cab730-358b-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1655-1665,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,S,-,-,-,R,L,-,,,,,-0.9539085714285714,0.0433835294117647,1:24,221.9,-28.5,66.1,-3.89,-1.37,-3.08,-5.49,16.3,-,13.8,-,-,6.83,Horn,Neal,Fastball,Ball,97.0,2290.0,-,-,79.9%
2025-05-20 01:00:00,Bot 2,1-1,1,227effc0-358b-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1672-1682,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,S,-,-,-,R,L,-,,,,,-0.14905142857142856,-0.3301976470588235,1:57,238.6,-29.4,65.0,-3.63,-1.24,-1.47,-5.36,8.9,-,13.1,-,-,6.91,Horn,Neal,Fastball,Strike Looking,95.3,2245.8,-,-,98.9%
2025-05-20 01:00:00,Bot 2,1-2,1,2c0c5f60-358b-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1686-1699,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,S,-,-,-,R,L,-,,,,,-2.5962400000000003,0.012945882352941175,8:18,69.0,-27.7,66.1,-1.55,-3.53,-2.01,-9.66,-3.1,-,-10.9,-,-,6.74,Horn,Neal,Slider,Ball,83.9,2204.0,-,-,0.0%
2025-05-20 01:00:00,Bot 2,2-2,1,398a3310-358b-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1708-1727,730206976,257794396,1.55,0.25,-,2.92,0,,,-,0,-,-,-,-,-,-,-,,,-,-,S,-,-,-,R,L,-,,,,,0.36798857142857144,0.39457411764705885,1:02,210.8,-27.8,66.5,-3.69,-2.00,-1.80,-4.32,16.6,-,9.3,-,-43.3,6.94,Horn,Neal,Fastball,Foul,95.9,2341.8,74.3,46.6,100.0%
2025-05-20 01:00:00,Bot 2,2-2,1,4d6b2880-358b-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1743-1753,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,S,-,-,-,R,L,-,,,,,0.8230171428571426,-0.7542635294117647,8:11,65.3,-30.3,65.3,-1.46,-2.89,1.36,-6.42,-2.4,-,-7.9,-,-,6.58,Horn,Neal,Slider,Ball,83.5,2091.3,-,-,85.2%
2025-05-20 01:00:00,Bot 2,3-2,1,5941b4d0-358b-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1763-1781,730206976,257794396,2.15,0.55,-,2.49,0,,,-,0,-,-,-,-,91.0,0.91s,-,,,.470,25.0,S,.545,.024,.521,R,L,-,S/9,,,,-0.0998742857142858,0.7884564705882353,1:18,218.9,-28.1,65.8,-4.09,-2.29,-1.95,-4.93,13.2,110.0,9.9,134.3,22.3,6.97,Horn,Neal,Fastball,Single on a Line Drive,96.9,2172.8,91.7,6.9,95.7%
2025-05-20 01:00:00,Bot 2,0-0,0,e5ac5200-358a-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1571-1580,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,IP_OUT,-,-,-,R,R,-,,,,,1.6768228571428574,2.4338682352941174,12:56,207.9,-26.8,70.6,-5.23,-3.45,-1.14,-3.25,19.5,-,9.8,-,-,6.96,Horn,Torres,Fastball,Ball,95.2,2341.9,-,-,0.0%
2025-05-20 01:00:00,Bot 2,1-0,0,ef1539b0-358a-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1585-1596,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,IP_OUT,-,-,-,R,R,-,,,,,-1.5779085714285714,0.7717270588235294,7:26,43.2,-27.2,67.5,-2.28,-3.83,-0.52,-9.42,-7.9,-,-8.5,-,-,6.41,Horn,Torres,Slider,Strike Swinging,82.3,2213.5,-,-,1.4%
2025-05-20 01:00:00,Bot 2,1-1,0,f9a03330-358a-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1604-1617,730206976,257794396,1.76,0.70,-,1.89,0,,,-,0,-,-,-,-,65.5,0.08s,-,,,.059,-4.0,IP_OUT,.066,.001,.066,R,R,-,63/G,,,,-0.7430171428571428,1.0406682352941177,7:59,59.7,-29.2,66.1,-2.81,-4.13,-0.18,-7.98,-3.0,9.1,-7.2,119.4,-10.9,6.75,Horn,Torres,Slider,Ground Out,83.4,2191.7,67.6,-14.3,84.6%
