date,inn,count,outs,PitchHand,BatterHand,Pitcher,Batter,VertApprAngle,Tilt,SpinDir,PZ,PX,ManOn3rd,ManOn2nd,ManOn1st,IndVertBrk,HorzBrk,HorzApprAngle,FBDst,Extension,ExitDir,ABResult,type,pitchResult,Vel,Spin,ExitVel,LaunchAng,pCallStrk%
2025-05-20 01:00:00,Bot 2,2-2,1,R,L,S. Horn,B. Neal,-4.32,1:02,210.8,2.82199,0.27949,,,,16.6,9.3,-2.00,-,6.94,-43.3,S,Fastball,Foul,95.9,2341.8,74.3,46.6,100.0%
2025-05-20 01:00:00,Bot 2,2-2,1,R,L,S. Horn,B. Neal,-6.42,8:11,65.3,3.22014,-0.53427,,,,-2.4,-7.9,-2.89,-,6.58,-,S,Slider,Ball,83.5,2091.3,-,-,85.2%
2025-05-20 01:00:00,Bot 2,3-2,1,R,L,S. Horn,B. Neal,-4.93,1:18,218.9,2.41261,0.55849,,,,13.2,9.9,-2.29,134.3,6.97,22.3,S,Fastball,Single on a Line Drive,96.9,2172.8,91.7,6.9,95.7%
2025-05-20 01:00:00,Bot 2,0-0,1,R,R,S. Horn,G. Staton,-7.38,7:39,49.6,2.31059,-0.74471,,,1,-3.1,-5.1,-2.22,292.4,6.87,-0.7,IP_OUT,Slider,Fly Out,84.1,2221.0,87.4,40.3,90.0%
2025-05-20 01:00:00,Bot 2,0-0,2,R,R,S. Horn,B. Norton,-5.88,2:02,240.8,1.96993,-0.34358,,,1,9.1,14.7,-0.83,-,6.92,-,IP_OUT,Fastball,Strike Looking,95.6,1997.8,-,-,95.9%
2025-05-20 01:00:00,Bot 2,0-1,2,R,R,S. Horn,B. Norton,-7.67,8:41,80.3,1.8352,0.65896,,,1,-0.7,-11.0,-4.23,295.1,6.81,-22.6,IP_OUT,Slider,Fly Out,83.0,2181.1,81.9,25.5,86.7%
2025-05-20 01:00:00,Top 3,0-0,0,R,L,T. Fay,B. Daniels,-6.86,11:46,173.1,2.2076,1.40064,,,,5.9,-0.6,-4.35,-,6.89,-,K,Cutter,Ball,85.3,2457.3,-,-,1.3%
2025-05-20 01:00:00,Top 3,1-0,0,R,L,T. Fay,B. Daniels,-5.33,2:38,258.9,3.41933,-1.50545,,,,4.6,17.4,0.34,-,6.84,-,K,Sinker,Ball,91.0,2357.8,-,-,0.0%
2025-05-20 01:00:00,Top 3,2-0,0,R,L,T. Fay,B. Daniels,-5.14,2:29,254.7,3.67116,-1.16758,,,,5.0,14.4,-0.04,-,6.65,-,K,Sinker,Ball,91.8,2362.0,-,-,0.0%
2025-05-20 01:00:00,Top 3,3-0,0,R,L,T. Fay,B. Daniels,-5.83,1:59,239.6,2.53762,0.12054,,,,9.6,14.4,-1.45,-,6.88,-,K,Sinker,Strike Looking,91.2,2384.4,-,-,98.7%
2025-05-20 01:00:00,Top 3,3-1,0,R,L,T. Fay,B. Daniels,-5.29,2:19,249.5,3.29217,0.67827,,,,6.7,15.1,-2.10,-,6.98,-,K,Sinker,Strike Looking,91.1,2444.4,-,-,63.1%
2025-05-20 01:00:00,Top 3,3-2,0,R,L,T. Fay,B. Daniels,-6.76,12:41,200.5,2.18622,0.58134,,,,5.6,1.7,-3.35,-,6.84,-,K,Cutter,Foul,86.5,2498.5,-,-,95.9%
2025-05-20 01:00:00,Top 3,3-2,0,R,L,T. Fay,B. Daniels,-6.12,2:28,254.1,2.47789,0.463,,,,6.5,18.9,-1.64,-,6.73,-,K,Sinker,Strikeout (Looking),92.4,2349.8,-,-,98.3%
2025-05-20 01:00:00,Top 3,0-0,1,R,R,T. Fay,J. Lovich,-5.97,8:43,81.3,3.94405,-0.87975,,,,-1.3,-16.7,-3.28,-,6.28,-,IP_OUT,Slider,Ball,80.0,2635.0,-,-,0.0%
2025-05-20 01:00:00,Top 3,1-0,1,R,R,T. Fay,J. Lovich,-6.96,9:13,96.7,2.56923,0.11302,,,,3.1,-15.2,-4.15,310.1,6.55,-34.6,IP_OUT,Slider,Fly Out,79.9,2695.6,85.0,36.8,98.4%
2025-05-20 01:00:00,Top 3,0-0,2,R,R,T. Fay,P. Seals,-3.92,1:52,235.8,4.15747,-0.25873,,,,9.8,12.9,-0.91,-,7.04,-,IP_OUT,Fastball,Ball,93.9,2295.5,-,-,0.0%
2025-05-20 01:00:00,Top 3,1-0,2,R,R,T. Fay,P. Seals,-4.53,1:43,231.3,3.60677,0.6277,,,,10.2,11.6,-2.29,-,6.85,-,IP_OUT,Fastball,Ball,91.8,2289.5,-,-,18.5%
2025-05-20 01:00:00,Top 3,2-0,2,R,R,T. Fay,P. Seals,-6.80,2:20,249.9,1.73362,1.64733,,,,6.3,14.6,-3.11,-,6.85,-,IP_OUT,Sinker,Ball,91.7,2359.8,-,-,0.0%
2025-05-20 01:00:00,Top 3,3-0,2,R,R,T. Fay,P. Seals,-6.32,2:23,251.5,2.37834,-0.38546,,,,6.7,17.2,-0.53,-,6.87,-,IP_OUT,Sinker,Strike Looking,91.3,2400.3,-,-,99.5%
2025-05-20 01:00:00,Top 3,3-1,2,R,R,T. Fay,P. Seals,-5.66,1:27,223.6,2.37512,0.64376,,,,13.6,12.0,-2.09,-,6.99,98.9,IP_OUT,Fastball,Foul,91.4,2396.2,74.7,39.2,97.5%
2025-05-20 01:00:00,Top 3,3-2,2,R,R,T. Fay,P. Seals,-6.65,8:49,84.4,3.0922,0.0323,,,,-0.1,-14.9,-4.28,332.3,6.66,28.9,IP_OUT,Slider,Fly Out,81.9,2664.0,92.8,22.7,97.4%
2025-05-20 01:00:00,Bot 3,0-0,0,R,L,S. Horn,B. Fowler,-5.60,1:39,229.6,2.23703,-0.94923,,,,13.0,14.1,-0.07,-,6.73,-,S,Fastball,Strike Looking,93.5,2133.9,-,-,79.8%
2025-05-20 01:00:00,Bot 3,0-1,0,R,L,S. Horn,B. Fowler,-4.00,1:25,222.4,3.3339,0.03261,,,,14.1,12.0,-1.35,-,6.84,-,S,Fastball,Foul,95.7,2219.9,-,-,74.9%
2025-05-20 01:00:00,Bot 3,0-2,0,R,L,S. Horn,B. Fowler,-4.49,1:08,213.9,2.81975,0.70033,,,,16.5,10.4,-2.26,209.8,6.94,-20.2,S,Fastball,Single on a Fly Ball,96.4,2166.2,66.4,36.3,84.3%
2025-05-20 01:00:00,Bot 3,0-0,0,R,R,S. Horn,J. Lebron,-8.68,7:10,35.0,1.54579,0.84892,,,1,-5.7,-5.0,-3.84,-,6.79,-,BB,Slider,Ball,82.9,2130.6,-,-,45.5%
2025-05-20 01:00:00,Bot 3,1-0,0,R,R,S. Horn,J. Lebron,-4.50,1:27,223.3,3.16564,0.18847,,,1,13.0,11.3,-1.38,-,7.02,162.9,BB,Fastball,Foul,94.5,2204.0,78.4,20.9,95.8%
2025-05-20 01:00:00,Bot 3,1-1,0,R,R,S. Horn,J. Lebron,-8.27,8:02,60.9,1.40588,1.11235,,,1,-2.2,-6.1,-4.12,-,6.81,-,BB,Slider,Ball,83.4,2209.6,-,-,5.8%
2025-05-20 01:00:00,Bot 3,2-1,1,R,R,S. Horn,J. Lebron,-4.92,1:31,225.7,2.62855,1.19904,,,,13.1,12.5,-2.41,-,6.98,-,BB,Fastball,Strike Looking,96.6,2290.4,-,-,40.2%
2025-05-20 01:00:00,Bot 3,2-2,1,R,R,S. Horn,J. Lebron,-6.76,1:33,226.4,0.93678,0.6991,,,,12.2,11.9,-1.96,-,7.12,-,BB,Fastball,Ball,97.0,2228.6,-,-,1.4%
2025-05-20 01:00:00,Bot 3,3-2,1,R,R,S. Horn,J. Lebron,-8.67,8:13,66.7,1.04214,0.77937,,,,-2.9,-9.4,-4.16,-,6.57,-,BB,Slider,Walk,83.5,2190.9,-,-,1.3%
2025-05-20 01:00:00,Bot 3,0-0,2,R,L,S. Horn,K. Snell,-5.04,1:31,225.5,2.34892,1.21876,,,1,14.2,13.6,-2.36,-,7.06,-,IP_OUT,Fastball,Ball,96.8,2205.4,-,-,5.7%
2025-05-20 01:00:00,Bot 3,1-0,2,R,L,S. Horn,K. Snell,-4.71,1:23,221.4,2.62502,0.59542,,,1,13.6,11.3,-2.06,135.3,7.06,39.7,IP_OUT,Fastball,Ground Out,95.6,2231.0,92.6,-0.1,96.7%
2025-05-20 01:00:00,Bot 3,0-0,2,R,R,S. Horn,R. Bonomolo Jr.,-6.67,9:00,90.1,2.68058,2.83624,,1,,1.2,-11.0,-6.67,-,6.90,-,BB,Slider,Ball,83.3,2015.5,-,-,0.0%
2025-05-20 01:00:00,Bot 3,1-0,2,R,R,S. Horn,R. Bonomolo Jr.,-7.71,9:03,91.4,1.53172,0.83484,,1,,1.5,-11.4,-4.39,-,6.92,-,BB,Slider,Ball,83.3,2097.0,-,-,39.3%
2025-05-20 01:00:00,Bot 3,2-0,2,R,R,S. Horn,R. Bonomolo Jr.,-8.20,8:18,69.1,1.33141,1.76652,,1,,-1.3,-6.2,-4.97,-,6.92,-,BB,Slider,Strike Swinging,83.9,2079.8,-,-,0.0%
2025-05-20 01:00:00,Bot 3,2-1,2,R,R,S. Horn,R. Bonomolo Jr.,-5.42,1:37,228.7,2.215,1.16805,,1,,11.3,12.0,-2.36,-,6.98,-,BB,Fastball,Ball,96.5,2186.3,-,-,39.7%
2025-05-20 01:00:00,Bot 3,3-1,2,R,R,S. Horn,R. Bonomolo Jr.,-7.43,8:32,75.9,1.98773,1.5857,,1,,-0.8,-7.6,-5.00,-,6.87,-,BB,Slider,Walk,83.9,2134.0,-,-,0.0%
2025-05-20 01:00:00,Bot 3,0-0,2,R,L,S. Horn,W. Hodo,-4.35,1:28,224.2,3.03384,0.812,,1,1,14.0,12.8,-2.24,-,7.01,-,BB,Fastball,Ball,96.6,2275.0,-,-,65.3%
2025-05-20 01:00:00,Bot 3,1-0,2,R,L,S. Horn,W. Hodo,-7.99,8:37,78.3,1.89166,0.7982,,1,1,-1.2,-11.7,-4.30,-,6.76,-,BB,Slider,Strike Looking,82.0,2238.0,-,-,76.8%
2025-05-20 01:00:00,Bot 3,1-1,2,R,L,S. Horn,W. Hodo,-5.61,1:25,222.6,1.85662,0.21634,,1,1,15.1,13.1,-1.33,-,7.07,-,BB,Fastball,Strike Looking,95.1,2259.4,-,-,95.7%
