Rank,team,date,opponent,result,Miss% vs CH,Miss% vs Spin,Miss% vs FB,ChangeMiss%,RISPPull%,FastMiss%,Swing%,HOppFld%,HPull%,LaunchAng,AvgEV,MaxEV,HardHit%,Barrel%,BB%,K%,xSLG,xWOBA,wOBA,PA,AB,BA,OBP,SLG,OPS,H,1B,2B,3B,HR
30,MIZZ,2025-03-23 01:00:00,MISS,L 6-14,-,50.0%,25.0%,-,0.0%,25.0%,72.7%,25.0%,25.0%,-12.6,97.5,103.3,50%,25.0%,0.0%,0.0%,.539,.323,1.041,4,4,.750,.750,1.750,2.500,3,1,1,0,1
31,MIZZ,2025-03-22 01:00:00,MISS,L 10-17,100.0%,0.0%,22.2%,100.0%,0.0%,22.2%,64.7%,33.3%,0.0%,-3.5,102.7,110.7,67%,33.3%,0.0%,40.0%,.358,.271,.493,5,5,.400,.400,.800,1.200,2,1,0,1,0
32,MIZZ,2025-03-21 01:00:00,MISS,L 6-9,-,0.0%,0.0%,-,100.0%,0.0%,50.0%,0.0%,50.0%,-0.4,104.6,109.4,75%,25.0%,0.0%,20.0%,.628,.405,.760,5,5,.600,.600,1.200,1.800,3,2,0,0,1
33,MIZZ,2025-03-16 01:00:00,LSU,L 5-10,100.0%,0.0%,25.0%,100.0%,-,25.0%,60.0%,0.0%,50.0%,-16.8,77.8,97.9,50%,0.0%,25.0%,25.0%,.182,.295,.174,4,3,.000,.250,.000,.250,0,0,0,0,0
34,MIZZ,2025-03-15 01:00:00,LSU,L 6-7,-,40.0%,0.0%,-,100.0%,0.0%,37.5%,33.3%,33.3%,-3.0,84.9,104.9,33%,0.0%,20.0%,20.0%,.349,.385,.494,5,4,.500,.600,.500,1.100,2,2,0,0,0
35,MIZZ,2025-03-14 01:00:00,LSU,L 5-12,75.0%,0.0%,0.0%,75.0%,-,0.0%,47.1%,100.0%,0.0%,23.9,102.1,102.1,100%,100.0%,25.0%,50.0%,.814,.491,.681,4,3,.333,.500,1.333,1.833,1,0,0,0,1
36,MIZZ,2025-03-09 01:00:00,BING,L 2-5,-,0.0%,0.0%,-,-,0.0%,57.1%,66.7%,0.0%,44.0,83.9,96.9,33%,33.3%,0.0%,0.0%,.330,.284,.295,3,3,.333,.333,.333,.667,1,1,0,0,0
37,MIZZ,2025-03-08 01:00:00 (2),BING,W 4-2,-,-,0.0%,-,33.3%,0.0%,36.4%,25.0%,25.0%,-14.7,77.0,104.8,25%,0.0%,0.0%,0.0%,.531,.451,.443,4,4,.500,.500,.500,1.000,2,2,0,0,0
38,MIZZ,2025-03-08 01:00:00,BING,W 16-6,-,12.5%,20.0%,-,66.7%,20.0%,58.3%,25.0%,75.0%,14.1,101.2,110.0,75%,50.0%,0.0%,20.0%,.689,.505,.605,5,5,.600,.600,.800,1.400,3,2,1,0,0
39,MIZZ,2025-03-07 01:00:00,BING,L 7-8,-,50.0%,0.0%,-,-,0.0%,60.0%,33.3%,66.7%,24.8,97.7,103.8,67%,0.0%,0.0%,16.7%,.059,.277,.390,6,4,.250,.500,.250,.750,1,1,0,0,0
40,MIZZ,2025-03-02 01:00:00,EVAN,L 5-9,-,0.0%,0.0%,-,100.0%,0.0%,33.3%,0.0%,75.0%,15.8,74.8,109.7,50%,50.0%,0.0%,0.0%,1.549,.993,.971,4,3,.667,.667,1.667,2.333,2,1,0,0,1
